,Genre,Age,Annual Income (k$),Spending Score (1-100),Propensity to Spend,Labels
0,1,19,15,39,2.6,5
1,1,21,15,81,5.4,2
2,0,20,16,6,0.38,1
3,0,23,16,77,4.81,2
4,0,31,17,40,2.35,2
5,0,22,17,76,4.47,2
6,0,35,18,6,0.33,6
7,0,23,18,94,5.22,2
8,1,64,19,3,0.16,0
9,0,30,19,72,3.79,2
10,1,67,19,14,0.74,0
11,0,35,19,99,5.21,2
12,0,58,20,15,0.75,6
13,0,24,20,77,3.85,2
14,1,37,20,13,0.65,0
15,1,22,20,79,3.95,5
16,0,35,21,35,1.67,6
17,1,20,21,66,3.14,5
18,1,52,23,29,1.26,0
19,0,35,23,98,4.26,2
20,1,35,24,35,1.46,5
21,1,25,24,73,3.04,5
22,0,46,25,5,0.2,6
23,1,31,25,73,2.92,5
24,0,54,28,14,0.5,6
25,1,29,28,82,2.93,5
26,0,45,28,32,1.14,6
27,1,35,28,61,2.18,5
28,0,40,29,31,1.07,6
29,0,23,29,87,3.0,2
30,1,60,30,4,0.13,0
31,0,21,30,73,2.43,2
32,1,53,33,4,0.12,0
33,1,18,33,92,2.79,5
34,0,49,33,14,0.42,6
35,0,21,33,81,2.45,2
36,0,42,34,17,0.5,6
37,0,30,34,73,2.15,2
38,0,36,37,26,0.7,6
39,0,20,37,75,2.03,2
40,0,65,38,35,0.92,6
41,1,24,38,92,2.42,5
42,1,48,39,36,0.92,0
43,0,31,39,61,1.56,1
44,0,49,39,28,0.72,6
45,0,24,39,65,1.67,1
46,0,50,40,55,1.38,6
47,0,27,40,47,1.18,1
48,0,29,40,42,1.05,1
49,0,31,40,42,1.05,1
50,0,49,42,52,1.24,6
51,1,33,42,60,1.43,5
52,0,31,43,54,1.26,1
53,1,59,43,60,1.4,0
54,0,50,43,45,1.05,6
55,1,47,43,41,0.95,0
56,0,51,44,50,1.14,6
57,1,69,44,46,1.05,0
58,0,27,46,51,1.11,1
59,1,53,46,46,1.0,0
60,1,70,46,56,1.22,0
61,1,19,46,55,1.2,5
62,0,67,47,52,1.11,6
63,0,54,47,59,1.26,6
64,1,63,48,51,1.06,0
65,1,18,48,59,1.23,5
66,0,43,48,50,1.04,6
67,0,68,48,48,1.0,6
68,1,19,48,59,1.23,5
69,0,32,48,47,0.98,1
70,1,70,49,55,1.12,0
